BENEFICIARIO,TIPO DE OPERACION,GASTO PUBLICO
"LAGUA 2006, S.L.",Mejorar a empleabilidad de las personas desempleadas,"258,35"
"LAGUILLO & CUADRADO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"394,16"
LAGUIMAR SL,Mejorar a empleabilidad de las personas desempleadas,"348,82"
LAGUINDA DE GIJON SL,Mejorar a empleabilidad de las personas desempleadas,"209,89"
"LAGUNA DEL ALCAIDE, SL",Mejorar a empleabilidad de las personas desempleadas,1666
LAGUNA EL SANTO SL,Mejorar a empleabilidad de las personas desempleadas,300
"LAGUNA PC, SL",Mejorar a empleabilidad de las personas desempleadas,"1266,73"
"LAGUNA REDONDA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"118,06"
"LAGUNA SPORT GAME, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2185,68"
"LAGUNA, DIRK 000665963N, S.L.N.E.",Mejorar a empleabilidad de las personas desempleadas,"221,93"
LAGUNAK CB,Mejorar a empleabilidad de las personas desempleadas,"649,28"
LAGUNARROTA SL,Mejorar a empleabilidad de las personas desempleadas,"325,82"
LAGUNAS DE ARCAS CB,Mejorar a empleabilidad de las personas desempleadas,"1671,48"
"LAGUNAS-LONIA, S.L.L.",Mejorar a empleabilidad de las personas desempleadas,1900
LAGUNGRAFKOOPE,Mejorar a empleabilidad de las personas desempleadas,"603,23"
LAGUNKETA SOCIEDAD ESTUDIOS Y SERVICIOS PARA LA CONSTRU,Mejorar a empleabilidad de las personas desempleadas,"1893,24"
LAGUNTEL SL,Mejorar a empleabilidad de las personas desempleadas,"1038,79"
LAGUTEK SL,Mejorar a empleabilidad de las personas desempleadas,1900
LAHER DISTRIBUCIONES GENERALES SL,Mejorar a empleabilidad de las personas desempleadas,"446,23"
LAHER PERITACIONES SL,Mejorar a empleabilidad de las personas desempleadas,"651,6"
"LAHNWERK RUBI, S.A.U.",Mejorar a empleabilidad de las personas desempleadas,1900
"LAHORE ESTUDIOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"33,04"
LAHOZ ASESORES CORREDURIA DE SEGUROS S.L.,Mejorar a empleabilidad de las personas desempleadas,"574,72"
LAHOZ FRASQUET SL,Mejorar a empleabilidad de las personas desempleadas,"1266,73"
LAHOZ LOPEZ ARQUITECTOS SL,Mejorar a empleabilidad de las personas desempleadas,"1402,44"
"LAIA ARQUERA, SL",Mejorar a empleabilidad de las personas desempleadas,"2131,34"
"LAIA HOSTALARITZA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"75,56"
"LAIA LIBROS, SL",Mejorar a empleabilidad de las personas desempleadas,"129,86"
LAIA MANAGEMENT SL,Mejorar a empleabilidad de las personas desempleadas,100
"LAIBERIA 9, S.L.",Mejorar a empleabilidad de las personas desempleadas,"965,6"
"LAIETANA 32 TELEFONIA, SL",Mejorar a empleabilidad de las personas desempleadas,1000
"LAIETANA DE LLIBRETERIA, SL",Mejorar a empleabilidad de las personas desempleadas,"1347,47"
LAIFER MAQUINARIA INDUSTRIAL SL,Mejorar a empleabilidad de las personas desempleadas,"552,46"
"LAILO SEGONA MA, SL",Mejorar a empleabilidad de las personas desempleadas,"150,85"
"LAIMAR, SOCIETAT PARTICULAR CIVIL",Mejorar a empleabilidad de las personas desempleadas,"1765,25"
"LAIMO, SL",Mejorar a empleabilidad de las personas desempleadas,1900
"LAIN TELECOM, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1124,37"
LAINA TOUR SL,Mejorar a empleabilidad de las personas desempleadas,"356,61"
LAINCAR RIVAS CB,Mejorar a empleabilidad de las personas desempleadas,"997,76"
LAINOA 2003 SAL,Mejorar a empleabilidad de las personas desempleadas,"626,44"
LAINSA SERVICIOS CONTRA INCENDIOS SA,Mejorar a empleabilidad de las personas desempleadas,"4679,59"
"LAIONRIC, SL",Mejorar a empleabilidad de las personas desempleadas,"1046,62"
LAIP SA,Mejorar a empleabilidad de las personas desempleadas,"272,68"
"LAIRIJEREZ,SL",Mejorar a empleabilidad de las personas desempleadas,"1062,45"
LAIRIS ESTILISTAS S.L.,Mejorar a empleabilidad de las personas desempleadas,"2061,15"
LAISER INSTALACIONES ELECTRICAS S.L.U.,Mejorar a empleabilidad de las personas desempleadas,"2490,56"
LAISTER SPORT SL,Mejorar a empleabilidad de las personas desempleadas,"146,35"
LAJARA SERVICIOS Y ESTUDIOS TECNICOS VETERINARIOS S.L.,Mejorar a empleabilidad de las personas desempleadas,"1345,77"
LAJO Y RODRIGUEZ SA,Mejorar a empleabilidad de las personas desempleadas,"28895,02"
LAKE OIL SL,Mejorar a empleabilidad de las personas desempleadas,"2839,86"
LAKEBOARD SAN JUAN S.L.,Mejorar a empleabilidad de las personas desempleadas,"70,83"
"LAKEN 3000, SL",Mejorar a empleabilidad de las personas desempleadas,"1419,98"
"LAKIMINITA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"708,3"
LAKIOCIOLANZAROTE S.L.,Mejorar a empleabilidad de las personas desempleadas,"982,22"
"LAKME COSMETICS, SL",Mejorar a empleabilidad de las personas desempleadas,"1928,32"
LAKORAMENDI SA,Mejorar a empleabilidad de las personas desempleadas,"412,5"
LAKOT SL,Mejorar a empleabilidad de las personas desempleadas,"235,53"
"LAKSHMI SPAIN MADE WITH JOY, SL",Mejorar a empleabilidad de las personas desempleadas,"1266,73"
"LAKUA RESTAURACION,S.L.",Mejorar a empleabilidad de las personas desempleadas,"378,92"
"LAKUDENT XXI, S.L.",Mejorar a empleabilidad de las personas desempleadas,1900
"LAL ALI, S.U. UNIPERSONAL",Mejorar a empleabilidad de las personas desempleadas,"859,94"
LALANNE PARTICIPACIONES EMPRESARIALES SA,Mejorar a empleabilidad de las personas desempleadas,"931,36"
"LALEJA SPORT CENTER, S.L.",Mejorar a empleabilidad de las personas desempleadas,1100
"LALINFOR SISTEMAS, SL",Mejorar a empleabilidad de las personas desempleadas,"725,42"
LALLEMAND BIO SL,Mejorar a empleabilidad de las personas desempleadas,"126,61"
"LALLEMAND BIO,S.L.",Mejorar a empleabilidad de las personas desempleadas,100
"LALUAN COLMENAR, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1048,26"
LALUCA COMUNICACION SL,Mejorar a empleabilidad de las personas desempleadas,"708,3"
LALUMARRO CANARIAS SL,Mejorar a empleabilidad de las personas desempleadas,"604,42"
LALY-BUS SL EN CONSTITUCION,Mejorar a empleabilidad de las personas desempleadas,"283,32"
"LALZADA INTERIORISMO, SL",Mejorar a empleabilidad de las personas desempleadas,"111,55"
"LAM MANAGEMENT CONSULTING,S.L.U.",Mejorar a empleabilidad de las personas desempleadas,"283,32"
LAM MAQUINARIA SA,Mejorar a empleabilidad de las personas desempleadas,"506,58"
"LAM ORGANIZACION INMOBILIARIA, SL",Mejorar a empleabilidad de las personas desempleadas,"302,21"
LAMA TRANSPORTES Y MOVIMIENTOS DE TIERRA SL,Mejorar a empleabilidad de las personas desempleadas,"743,76"
"LAMADO FRANQUICIAS, SL",Mejorar a empleabilidad de las personas desempleadas,"1345,77"
LAMAGRANDE SL,Mejorar a empleabilidad de las personas desempleadas,"1009,28"
LAMAIGNERE SA,Mejorar a empleabilidad de las personas desempleadas,"2435,8"
LAMAK AG SL,Mejorar a empleabilidad de las personas desempleadas,"382,47"
"LAMAL 2000, S.L.",Mejorar a empleabilidad de las personas desempleadas,"691,67"
LAMANOR SL,Mejorar a empleabilidad de las personas desempleadas,"5494,21"
LAMAR 60 SL,Mejorar a empleabilidad de las personas desempleadas,"188,86"
"LAMAR MANTENIMIENTOS Y SERVICIOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"871,14"
LAMARCA AZAFATAS SL,Mejorar a empleabilidad de las personas desempleadas,"283,32"
LAMARCUSO-JOU SL,Mejorar a empleabilidad de las personas desempleadas,"1616,12"
"LAMARGHA BANJOR, S.L.",Mejorar a empleabilidad de las personas desempleadas,"33,04"
LAMARTHE ESPANA SL,Mejorar a empleabilidad de las personas desempleadas,"398,99"
"LAMARVI, SA",Mejorar a empleabilidad de las personas desempleadas,"4647,22"
LAMAS BOLANO MADRID SL,Mejorar a empleabilidad de las personas desempleadas,"1959,13"
"LAMASALA 2007, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2526,21"
"LAMBAESIS,S.L.",Mejorar a empleabilidad de las personas desempleadas,"401,35"
LAMBAS DURAN ASESORIA SL,Mejorar a empleabilidad de las personas desempleadas,"2586,32"
LAMBAS INVERSIONES SL,Mejorar a empleabilidad de las personas desempleadas,1425
LAMBDA 3 SA,Mejorar a empleabilidad de las personas desempleadas,"2275,44"
"LAMBDA CALIDAD Y TECNOLOGIA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"2021,1"
"LAMBDA DIAGNOSTICO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2559,84"
LAMBDA MOTORS DEL PENEDES SL,Mejorar a empleabilidad de las personas desempleadas,"62,16"
LAMBDA VIAJES SA,Mejorar a empleabilidad de las personas desempleadas,"1146,47"
LAMBDASTREAM SERVICIOS INTERACTIVOS SL,Mejorar a empleabilidad de las personas desempleadas,"500,5"
LAMBE INGENIERIA; S.L.,Mejorar a empleabilidad de las personas desempleadas,"682,24"
LAMBEARSA SL,Mejorar a empleabilidad de las personas desempleadas,"181,75"
"LAMBER TRADE, SL",Mejorar a empleabilidad de las personas desempleadas,"326,64"
LAMBERET SERVICIOS SL,Mejorar a empleabilidad de las personas desempleadas,"635,08"
LAMBERT CASTELLO SL,Mejorar a empleabilidad de las personas desempleadas,1900
"LAMBERT ONE, S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"1726,45"
LAMBERT-SANCHEZ S.L.,Mejorar a empleabilidad de las personas desempleadas,"1274,94"
LAMBRA SL,Mejorar a empleabilidad de las personas desempleadas,"2899,9"
LAMDORS SA,Mejorar a empleabilidad de las personas desempleadas,"1683,56"
"LAMFORD CENTER, SL",Mejorar a empleabilidad de las personas desempleadas,"23,6"
LAMICHAPA SA,Mejorar a empleabilidad de las personas desempleadas,"708,3"
LAMIDECOR SL,Mejorar a empleabilidad de las personas desempleadas,"1914,38"
"LAMIEXPRESS, SL",Mejorar a empleabilidad de las personas desempleadas,"2650,97"
"LAMILK, CB",Mejorar a empleabilidad de las personas desempleadas,"799,9"
LAMINACIONES EGABRENSES SL,Mejorar a empleabilidad de las personas desempleadas,"5189,11"
LAMINADOS ANDALUCIA SL,Mejorar a empleabilidad de las personas desempleadas,"25,96"
LAMINADOS ARAGON SL,Mejorar a empleabilidad de las personas desempleadas,"322,98"
LAMINADOS DE ALLER; S.A.,Mejorar a empleabilidad de las personas desempleadas,"2705,77"
"LAMINADOS DE MADERA NOROESTE,S.A.",Mejorar a empleabilidad de las personas desempleadas,"346,67"
LAMINADOS DEL ODIEL PALOS SL,Mejorar a empleabilidad de las personas desempleadas,"308,08"
LAMINADOS J.P. S.L.,Mejorar a empleabilidad de las personas desempleadas,1400
"LAMINADOS LACADOS Y ANODIZADOS ANDALUCIA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"913,58"
"LAMINADOS VILLAP0L, SA",Mejorar a empleabilidad de las personas desempleadas,"6046,87"
"LAMINADOS Y TROQUELADOS ALICANTE,S.L.",Mejorar a empleabilidad de las personas desempleadas,"423,31"
LAMINADOS YOFRA SL,Mejorar a empleabilidad de las personas desempleadas,"4431,81"
"LAMINAS PAMPLONA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"681,48"
LAMINATS DE CATALUNYA SL,Mejorar a empleabilidad de las personas desempleadas,"1574,01"
LAMINEX MADRID SA,Mejorar a empleabilidad de las personas desempleadas,"408,91"
LAMINOR PLASTICOS SL,Mejorar a empleabilidad de las personas desempleadas,"931,05"
"LAMIPLAC, SL",Mejorar a empleabilidad de las personas desempleadas,"1266,73"
LAMITEX SA,Mejorar a empleabilidad de las personas desempleadas,"1439,52"
"LAMITOR, S.A.",Mejorar a empleabilidad de las personas desempleadas,910
LAMIZAGA SL,Mejorar a empleabilidad de las personas desempleadas,"2306,74"
"LAMO DE ESPINOSA Y ASOCIADOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"750,78"
LAMOLLA SA,Mejorar a empleabilidad de las personas desempleadas,"1040,71"
"LAMONICA, S.L.(EN CONSTITUCION)",Mejorar a empleabilidad de las personas desempleadas,"7256,79"
LAMONTAGNE SL,Mejorar a empleabilidad de las personas desempleadas,"295,13"
"LAMP, SA",Mejorar a empleabilidad de las personas desempleadas,"4446,72"
LAMPARAS DE CORDOBA SL,Mejorar a empleabilidad de las personas desempleadas,"1155,59"
"LAMPARAS G.ILUMINACION, S.L",Mejorar a empleabilidad de las personas desempleadas,"155,82"
LAMPARAS LLUM CRISTAL SL,Mejorar a empleabilidad de las personas desempleadas,"997,83"
LAMPARAS MESELUZ S.L.,Mejorar a empleabilidad de las personas desempleadas,"577,22"
LAMPARAS MINO SL,Mejorar a empleabilidad de las personas desempleadas,"311,08"
LAMPARAS MUﾄOZ SL,Mejorar a empleabilidad de las personas desempleadas,"1200,06"
LAMPARAS OLIVA SA,Mejorar a empleabilidad de las personas desempleadas,"2574,71"
LAMPARAS OSMA SL,Mejorar a empleabilidad de las personas desempleadas,"203,05"
"LAMPARAS ROMA, SL",Mejorar a empleabilidad de las personas desempleadas,"244,02"
"LAMPARD FOOTWWAR,S.L.",Mejorar a empleabilidad de las personas desempleadas,"2326,96"
"LAMPEREZ & TORRES 2004, S.L.",Mejorar a empleabilidad de las personas desempleadas,"926,11"
"LAMPISTERIA ALBO VALLS,SL",Mejorar a empleabilidad de las personas desempleadas,"76,59"
"LAMPISTERIA B.I.D., S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"1244,81"
"LAMPISTERIA CODINA, SL",Mejorar a empleabilidad de las personas desempleadas,400
"LAMPISTERIA DALMASES, S.R.L.",Mejorar a empleabilidad de las personas desempleadas,"1813,22"
"LAMPISTERIA JULIO, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1262,22"
"LAMPISTERIA LALO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"993,24"
"LAMPISTERIA MAGIC, SL",Mejorar a empleabilidad de las personas desempleadas,"1496,67"
LAMPISTERIA PREINSTA SL,Mejorar a empleabilidad de las personas desempleadas,"672,98"
"LAMPISTERIA PUIG-MAS, SL",Mejorar a empleabilidad de las personas desempleadas,"153,25"
"LAMPISTERIA RITE,S.L.",Mejorar a empleabilidad de las personas desempleadas,"2666,6"
"LAMPISTERIA ROMAN,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1439,86"
LAMPISTERIA SABRIA SL,Mejorar a empleabilidad de las personas desempleadas,"1266,73"
LAMPISTERIA TRICAM SL,Mejorar a empleabilidad de las personas desempleadas,"226,58"
"LAMPISTERIA VALIENTE, SL",Mejorar a empleabilidad de las personas desempleadas,"586,58"
"LAMPRE & VERA, S.L.",Mejorar a empleabilidad de las personas desempleadas,"161,11"
LAMPURDANES Y SEGURA SL,Mejorar a empleabilidad de las personas desempleadas,1130
LAMSAUTO SA,Mejorar a empleabilidad de las personas desempleadas,"3926,6"
"LAMUSA Y SERVICIOS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2564,57"
LAMYGU SL,Mejorar a empleabilidad de las personas desempleadas,"228,87"
"LAN A2, SL",Mejorar a empleabilidad de las personas desempleadas,"448,86"
LAN BCN SL,Mejorar a empleabilidad de las personas desempleadas,"164,35"
"LAN EKINTZA-BILBAO, O.A.L.",Mejorar a empleabilidad de las personas desempleadas,"618924,82"
"LAN INFORMATICA Y COMUNICACIONES, SL",Mejorar a empleabilidad de las personas desempleadas,950
LAN SYSTEM SL,Mejorar a empleabilidad de las personas desempleadas,500
LAN TA LAN SERVICIOS INTEGRALES DE CONSTRUCC,Mejorar a empleabilidad de las personas desempleadas,"2008,51"
"LANACCESS TELECOM, SA",Mejorar a empleabilidad de las personas desempleadas,"1716,65"
LANAS ALONDRA CB,Mejorar a empleabilidad de las personas desempleadas,"1770,75"
LANAS CARRASCO CB,Mejorar a empleabilidad de las personas desempleadas,"1023,31"
LANAS JAVIER SANCHEZ SL,Mejorar a empleabilidad de las personas desempleadas,"636,63"
LANAS SL,Mejorar a empleabilidad de las personas desempleadas,"1467,78"
"LANBALTZUA, SA",Mejorar a empleabilidad de las personas desempleadas,"174,7"
"LANCEA PROYECTOS Y SOLUCIONES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"2330,47"
LANCELOT GLOBAL BUSINESS SOLUTIONS S.L.,Mejorar a empleabilidad de las personas desempleadas,"1133,28"
LANCHARES SERVICIOS JURIDICOS PROCESALES SL,Mejorar a empleabilidad de las personas desempleadas,"450,94"
"LANCHAZO DECORACION FERIAL, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1133,39"
LANCHID INVESTMENT SL,Mejorar a empleabilidad de las personas desempleadas,"406,09"
"LANCHO CANAL, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1128,81"
LANCIA DENTAL SL,Mejorar a empleabilidad de las personas desempleadas,"1542,5"
"LANCIA SERVICIOS DE ARQUITECTURA,S.L.",Mejorar a empleabilidad de las personas desempleadas,"2040,06"
"LANCIBER SOLUCIONES INFORMATICAS, SL",Mejorar a empleabilidad de las personas desempleadas,"832,24"
"LAND 2007,S.L.",Mejorar a empleabilidad de las personas desempleadas,"1256,51"
LAND IMPORT S.L.,Mejorar a empleabilidad de las personas desempleadas,"597,74"
"LAND MOTORS, SA",Mejorar a empleabilidad de las personas desempleadas,"642,69"
"LAND PORCELANICO,S.L.",Mejorar a empleabilidad de las personas desempleadas,"5915,15"
"LAND TELEMARKETING, SL",Mejorar a empleabilidad de las personas desempleadas,"13060,07"
LANDA PALACE SA,Mejorar a empleabilidad de las personas desempleadas,"593,24"
LANDA SOFT SLL,Mejorar a empleabilidad de las personas desempleadas,"720,11"
LANDA Y JIMENEZ SL,Mejorar a empleabilidad de las personas desempleadas,1500
LANDABASO SL,Mejorar a empleabilidad de las personas desempleadas,"965,6"
LANDABE INGENIEROS SL,Mejorar a empleabilidad de las personas desempleadas,"1157,79"
LANDAIS OUTSOURCING SL,Mejorar a empleabilidad de las personas desempleadas,"2183,49"
"LANDAKER, S.A.",Mejorar a empleabilidad de las personas desempleadas,"705,94"
"LANDALAN ESTRUCTURAS,SL",Mejorar a empleabilidad de las personas desempleadas,"443,74"
"LANDALAN SERVICIOS HOSTELEROS, S.L.",Mejorar a empleabilidad de las personas desempleadas,"1871,96"
LANDALUZ ASOC EMPRESARIAL DE CALIDAD CERTIFICADA,Mejorar a empleabilidad de las personas desempleadas,"336,49"
LANDAN ASESORIA Y ADMINISTRACION DE EMPRESAS SL EN CONS,Mejorar a empleabilidad de las personas desempleadas,"1849,63"
LANDARAN 95 SL,Mejorar a empleabilidad de las personas desempleadas,"1276,59"
"LANDATA INGENIERIA, SA",Mejorar a empleabilidad de las personas desempleadas,"2167,67"
LANDATEL COMUNICACIONES SL,Mejorar a empleabilidad de las personas desempleadas,"13,33"
LANDATUR ZERBITZU KULTURALAK SL,Mejorar a empleabilidad de las personas desempleadas,"279,92"
"LANDA-UNBE, SL",Mejorar a empleabilidad de las personas desempleadas,"4,44"
"LANDAURO VIAJES, S.L.",Mejorar a empleabilidad de las personas desempleadas,"884,4"
"LANDAUTO MOTOR, SL",Mejorar a empleabilidad de las personas desempleadas,"464,4"
LANDAZABAL HOSTELERA SL,Mejorar a empleabilidad de las personas desempleadas,"946,62"
LANDE SA,Mejorar a empleabilidad de las personas desempleadas,"476,9"
"LANDEIRA, S. COOP. GALEGA",Mejorar a empleabilidad de las personas desempleadas,"1363,51"
LANDER SIMULATION & TRAINING SOLUTIONS SA,Mejorar a empleabilidad de las personas desempleadas,"600,03"
LANDES POLI IBERICA SL,Mejorar a empleabilidad de las personas desempleadas,"672,98"
"LANDI DESARROLLO,S.L",Mejorar a empleabilidad de las personas desempleadas,160
LANDIN HOSTELERIA SL,Mejorar a empleabilidad de las personas desempleadas,"1446,52"
LANDIS & GYR SA SOCIEDAD UNIPERSONAL,Mejorar a empleabilidad de las personas desempleadas,"1696,4"
LANDITRACTOR S.L.,Mejorar a empleabilidad de las personas desempleadas,"1526,21"
"LANDIZHENG, S.L.L.",Mejorar a empleabilidad de las personas desempleadas,"833,35"
